year temperature
1968 -2.13
1969 0.41
1970 1.95
1971 1.50
1972 3.04
1973 2.48
1975 1.12
1976 -3.14
1977 -1.49
1978 -2.45
1979 -1.81
1980 -2.57
1981 0.37
1982 -0.48
1983 1.86
1984 -0.20
1985 0.74
1986 -3.22
1987 -2.67
1988 3.97
1989 0.01
1990 -1.45
1991 2.99
1992 1.84
1993 -2.12
1994 1.22
1995 -1.34
1996 -1.20
1997 0.65
1998 -2.01
1999 3.03
2000 0.47
2001 3.61
2002 2.46
2003 -2.70
2004 -1.66
2005 -0.82
2006 0.42
2007 -1.53
2008 0.81
